Event Name,Start Date,End Date ,About,Venue,Event Start Time,Event End Time,Registration form
GC 2030,2030-05-10,2030-06-10,Kya iss baar ravi jeet payega ? Jaaniye hostels ka raaz ? Turant kriye join!,IIT ROPAR,,,
4,,,,,,,
Group Dance,2030-05-10,,Jung hogi naachne waalon ki,Auditorium,14:00,16:00,https://docs.google.com/forms/d/e/1FAIpQLSfiEfHLw5lfzv9JE4znBy28MMkmnvlSB1NbcNnoqLSYf7PUSA/viewform?usp=header
Battle of Bands,2030-05-11,,Rock the stage with your music,Main Stage,15:00,17:00,https://docs.google.com/forms/d/e/1FAIpQLSfiEfHLw5lfzv9JE4znBy28MMkmnvlSB1NbcNnoqLSYf7PUSA/viewform?usp=header
Hackathon,2030-05-12,,Code your way to victory,Tech Hall,16:00,18:00,
Stand-Up Comedy,2030-05-14,,Laugh out loud with top comedians,Auditorium,17:00,19:00,https://docs.google.com/forms/d/e/1FAIpQLSfiEfHLw5lfzv9JE4znBy28MMkmnvlSB1NbcNnoqLSYf7PUSA/viewform?usp=header
Robotics Challenge,2030-05-15,,Build and battle your robots,Innovation Lab,18:00,20:00,https://docs.google.com/forms/d/e/1FAIpQLSfiEfHLw5lfzv9JE4znBy28MMkmnvlSB1NbcNnoqLSYf7PUSA/viewform?usp=header
Fashion Show,2030-05-17,,Showcase your style on the runway,Open Arena,19:00,21:00,https://docs.google.com/forms/d/e/1FAIpQLSfiEfHLw5lfzv9JE4znBy28MMkmnvlSB1NbcNnoqLSYf7PUSA/viewform?usp=header
Treasure Hunt,2030-05-18,,Decode clues and find the prize,Campus Grounds,20:00,22:00,https://docs.google.com/forms/d/e/1FAIpQLSfiEfHLw5lfzv9JE4znBy28MMkmnvlSB1NbcNnoqLSYf7PUSA/viewform?usp=header
Photography Contest,2030-05-19,,Capture the best moments,Fine Arts Gallery,21:00,23:00,
Drama Night,2030-05-20,,Experience the magic of theater,Black Box Theater,22:00,0:00,https://docs.google.com/forms/d/e/1FAIpQLSfiEfHLw5lfzv9JE4znBy28MMkmnvlSB1NbcNnoqLSYf7PUSA/viewform?usp=header
Marathon,2030-05-21,,Run for a cause,City Streets,23:00,1:00,https://docs.google.com/forms/d/e/1FAIpQLSfiEfHLw5lfzv9JE4znBy28MMkmnvlSB1NbcNnoqLSYf7PUSA/viewform?usp=header
